SR.No,question,answer,topic
414, Do you have evening or weekend classes?,"Arya College offers part-time options for the business administration program (MBA/related). Expect evening or weekend classes with flexible scheduling; exact offerings, eligibility, duration, and fees vary by batch/intake. For current part-time options and schedules, I can connect you with Admissions. Want me to connect you now? ",PART_TIME_PROGRAMS
415,Can I take classes part-time?,"Arya College offers part-time options for the business administration program (MBA/related). Expect evening or weekend classes with flexible scheduling; exact offerings, eligibility, duration, and fees vary by batch/intake. For current part-time options and schedules, I can connect you with Admissions. Want me to connect you now? ",PART_TIME_PROGRAMS
416,Tell me about part-time enrollment,"Arya College offers part-time options for the business administration program (MBA/related). Expect evening or weekend classes with flexible scheduling; exact offerings, eligibility, duration, and fees vary by batch/intake. For current part-time options and schedules, I can connect you with Admissions. Want me to connect you now? ",PART_TIME_PROGRAMS
417, Are there part-time study programs?,"Arya College offers part-time options for the business administration program (MBA/related). Expect evening or weekend classes with flexible scheduling; exact offerings, eligibility, duration, and fees vary by batch/intake. For current part-time options and schedules, I can connect you with Admissions. Want me to connect you now? ",PART_TIME_PROGRAMS
418,Can I do part-time coursework?,"Arya College offers part-time options for the business administration program (MBA/related). Expect evening or weekend classes with flexible scheduling; exact offerings, eligibility, duration, and fees vary by batch/intake. For current part-time options and schedules, I can connect you with Admissions. Want me to connect you now? ",PART_TIME_PROGRAMS
419,Do you offer flexible scheduling?,"Arya College offers part-time options for the business administration program (MBA/related). Expect evening or weekend classes with flexible scheduling; exact offerings, eligibility, duration, and fees vary by batch/intake. For current part-time options and schedules, I can connect you with Admissions. Want me to connect you now? ",PART_TIME_PROGRAMS
420,Tell me part-time program information,"Arya College offers part-time options for the business administration program (MBA/related). Expect evening or weekend classes with flexible scheduling; exact offerings, eligibility, duration, and fees vary by batch/intake. For current part-time options and schedules, I can connect you with Admissions. Want me to connect you now? ",PART_TIME_PROGRAMS
421,Can I attend classes part-time?,"Arya College offers part-time options for the business administration program (MBA/related). Expect evening or weekend classes with flexible scheduling; exact offerings, eligibility, duration, and fees vary by batch/intake. For current part-time options and schedules, I can connect you with Admissions. Want me to connect you now? ",PART_TIME_PROGRAMS
422,Are there part-time degree programs?,"Arya College offers part-time options for the business administration program (MBA/related). Expect evening or weekend classes with flexible scheduling; exact offerings, eligibility, duration, and fees vary by batch/intake. For current part-time options and schedules, I can connect you with Admissions. Want me to connect you now? ",PART_TIME_PROGRAMS
423,Do you accommodate working students?,"Arya College offers part-time options for the business administration program (MBA/related). Expect evening or weekend classes with flexible scheduling; exact offerings, eligibility, duration, and fees vary by batch/intake. For current part-time options and schedules, I can connect you with Admissions. Want me to connect you now? ",PART_TIME_PROGRAMS
424,Tell me about non-full-time options,"Arya College offers part-time options for the business administration program (MBA/related). Expect evening or weekend classes with flexible scheduling; exact offerings, eligibility, duration, and fees vary by batch/intake. For current part-time options and schedules, I can connect you with Admissions. Want me to connect you now? ",PART_TIME_PROGRAMS
425, Can I study while working?,"Arya College offers part-time options for the business administration program (MBA/related). Expect evening or weekend classes with flexible scheduling; exact offerings, eligibility, duration, and fees vary by batch/intake. For current part-time options and schedules, I can connect you with Admissions. Want me to connect you now? ",PART_TIME_PROGRAMS
426,What's the refund policy if I drop out?,"Arya College refund policy follows college guidelines and governing body rules; the amount is determined by the institution, not the student. If you withdraw, submit a formal withdrawal to Admissions/Finance; refunds are calculated per policy and processed after review. Timelines and eligible amounts vary by batch and registration type. For exact dates, amounts, and procedures for your program, I can connect you with the appropriate staff.",REFUND_POLICY
427,Can I get my money back if I withdraw?,"Arya College refund policy follows college guidelines and governing body rules; the amount is determined by the institution, not the student. If you withdraw, submit a formal withdrawal to Admissions/Finance; refunds are calculated per policy and processed after review. Timelines and eligible amounts vary by batch and registration type. For exact dates, amounts, and procedures for your program, I can connect you with the appropriate staff.",REFUND_POLICY
428, Tell me about tuition refunds,"Arya College refund policy follows college guidelines and governing body rules; the amount is determined by the institution, not the student. If you withdraw, submit a formal withdrawal to Admissions/Finance; refunds are calculated per policy and processed after review. Timelines and eligible amounts vary by batch and registration type. For exact dates, amounts, and procedures for your program, I can connect you with the appropriate staff.",REFUND_POLICY
429, What happens if I leave college early?,"Arya College refund policy follows college guidelines and governing body rules; the amount is determined by the institution, not the student. If you withdraw, submit a formal withdrawal to Admissions/Finance; refunds are calculated per policy and processed after review. Timelines and eligible amounts vary by batch and registration type. For exact dates, amounts, and procedures for your program, I can connect you with the appropriate staff.",REFUND_POLICY
430, Do you refund fees if I drop out?,"Arya College refund policy follows college guidelines and governing body rules; the amount is determined by the institution, not the student. If you withdraw, submit a formal withdrawal to Admissions/Finance; refunds are calculated per policy and processed after review. Timelines and eligible amounts vary by batch and registration type. For exact dates, amounts, and procedures for your program, I can connect you with the appropriate staff.",REFUND_POLICY
431,What's your withdrawal refund policy?,"Arya College refund policy follows college guidelines and governing body rules; the amount is determined by the institution, not the student. If you withdraw, submit a formal withdrawal to Admissions/Finance; refunds are calculated per policy and processed after review. Timelines and eligible amounts vary by batch and registration type. For exact dates, amounts, and procedures for your program, I can connect you with the appropriate staff.",REFUND_POLICY
432,Can I get tuition back if I quit?,"Arya College refund policy follows college guidelines and governing body rules; the amount is determined by the institution, not the student. If you withdraw, submit a formal withdrawal to Admissions/Finance; refunds are calculated per policy and processed after review. Timelines and eligible amounts vary by batch and registration type. For exact dates, amounts, and procedures for your program, I can connect you with the appropriate staff.",REFUND_POLICY
433,Tell me refund policy details,"Arya College refund policy follows college guidelines and governing body rules; the amount is determined by the institution, not the student. If you withdraw, submit a formal withdrawal to Admissions/Finance; refunds are calculated per policy and processed after review. Timelines and eligible amounts vary by batch and registration type. For exact dates, amounts, and procedures for your program, I can connect you with the appropriate staff.",REFUND_POLICY
434, What refund do I get if I withdraw?,"Arya College refund policy follows college guidelines and governing body rules; the amount is determined by the institution, not the student. If you withdraw, submit a formal withdrawal to Admissions/Finance; refunds are calculated per policy and processed after review. Timelines and eligible amounts vary by batch and registration type. For exact dates, amounts, and procedures for your program, I can connect you with the appropriate staff.",REFUND_POLICY
435,Is there a refund if I leave mid-semester?,"Arya College refund policy follows college guidelines and governing body rules; the amount is determined by the institution, not the student. If you withdraw, submit a formal withdrawal to Admissions/Finance; refunds are calculated per policy and processed after review. Timelines and eligible amounts vary by batch and registration type. For exact dates, amounts, and procedures for your program, I can connect you with the appropriate staff.",REFUND_POLICY
436, Do you return money if I drop out?,"Arya College refund policy follows college guidelines and governing body rules; the amount is determined by the institution, not the student. If you withdraw, submit a formal withdrawal to Admissions/Finance; refunds are calculated per policy and processed after review. Timelines and eligible amounts vary by batch and registration type. For exact dates, amounts, and procedures for your program, I can connect you with the appropriate staff.",REFUND_POLICY
437, Tell me about fee refund policies,"Arya College refund policy follows college guidelines and governing body rules; the amount is determined by the institution, not the student. If you withdraw, submit a formal withdrawal to Admissions/Finance; refunds are calculated per policy and processed after review. Timelines and eligible amounts vary by batch and registration type. For exact dates, amounts, and procedures for your program, I can connect you with the appropriate staff.",REFUND_POLICY
438,What's the refund procedure for dropouts?,"Arya College refund policy follows college guidelines and governing body rules; the amount is determined by the institution, not the student. If you withdraw, submit a formal withdrawal to Admissions/Finance; refunds are calculated per policy and processed after review. Timelines and eligible amounts vary by batch and registration type. For exact dates, amounts, and procedures for your program, I can connect you with the appropriate staff.",REFUND_POLICY
439,Can I get partial refund if I withdraw?,"Arya College refund policy follows college guidelines and governing body rules; the amount is determined by the institution, not the student. If you withdraw, submit a formal withdrawal to Admissions/Finance; refunds are calculated per policy and processed after review. Timelines and eligible amounts vary by batch and registration type. For exact dates, amounts, and procedures for your program, I can connect you with the appropriate staff.",REFUND_POLICY
440,What money do I get back if I leave?,"Arya College refund policy follows college guidelines and governing body rules; the amount is determined by the institution, not the student. If you withdraw, submit a formal withdrawal to Admissions/Finance; refunds are calculated per policy and processed after review. Timelines and eligible amounts vary by batch and registration type. For exact dates, amounts, and procedures for your program, I can connect you with the appropriate staff.",REFUND_POLICY
441, Tell me withdrawal refund information,"Arya College refund policy follows college guidelines and governing body rules; the amount is determined by the institution, not the student. If you withdraw, submit a formal withdrawal to Admissions/Finance; refunds are calculated per policy and processed after review. Timelines and eligible amounts vary by batch and registration type. For exact dates, amounts, and procedures for your program, I can connect you with the appropriate staff.",REFUND_POLICY
442,Do you provide refunds for early withdrawal?,"Arya College refund policy follows college guidelines and governing body rules; the amount is determined by the institution, not the student. If you withdraw, submit a formal withdrawal to Admissions/Finance; refunds are calculated per policy and processed after review. Timelines and eligible amounts vary by batch and registration type. For exact dates, amounts, and procedures for your program, I can connect you with the appropriate staff.",REFUND_POLICY
443, How do I get a student ID card?,"Arya College issues student ID cards via the Student Services/Registrar. To get one: (1) submit ID Card request through the student portal or visit the ID Card Office, (2) provide enrollment proof and a passport-size photo (and passport/ID if international), (3) payment if required. Processing/collection timing vary by batch; exact hours/dates can be provided by contacting the ID Card Office. ",STUDENT_ID_CARD
444, Where can I get my student ID?,"Arya College issues student ID cards via the Student Services/Registrar. To get one: (1) submit ID Card request through the student portal or visit the ID Card Office, (2) provide enrollment proof and a passport-size photo (and passport/ID if international), (3) payment if required. Processing/collection timing vary by batch; exact hours/dates can be provided by contacting the ID Card Office. ",STUDENT_ID_CARD
445,Tell me about getting student ID card,"Arya College issues student ID cards via the Student Services/Registrar. To get one: (1) submit ID Card request through the student portal or visit the ID Card Office, (2) provide enrollment proof and a passport-size photo (and passport/ID if international), (3) payment if required. Processing/collection timing vary by batch; exact hours/dates can be provided by contacting the ID Card Office. ",STUDENT_ID_CARD
446, How do I obtain my college ID?,"Arya College issues student ID cards via the Student Services/Registrar. To get one: (1) submit ID Card request through the student portal or visit the ID Card Office, (2) provide enrollment proof and a passport-size photo (and passport/ID if international), (3) payment if required. Processing/collection timing vary by batch; exact hours/dates can be provided by contacting the ID Card Office. ",STUDENT_ID_CARD
447, What's the process for student ID?,"Arya College issues student ID cards via the Student Services/Registrar. To get one: (1) submit ID Card request through the student portal or visit the ID Card Office, (2) provide enrollment proof and a passport-size photo (and passport/ID if international), (3) payment if required. Processing/collection timing vary by batch; exact hours/dates can be provided by contacting the ID Card Office. ",STUDENT_ID_CARD
448,Where do I apply for student ID card?,"Arya College issues student ID cards via the Student Services/Registrar. To get one: (1) submit ID Card request through the student portal or visit the ID Card Office, (2) provide enrollment proof and a passport-size photo (and passport/ID if international), (3) payment if required. Processing/collection timing vary by batch; exact hours/dates can be provided by contacting the ID Card Office. ",STUDENT_ID_CARD
449,Can I get my student identification card?,"Arya College issues student ID cards via the Student Services/Registrar. To get one: (1) submit ID Card request through the student portal or visit the ID Card Office, (2) provide enrollment proof and a passport-size photo (and passport/ID if international), (3) payment if required. Processing/collection timing vary by batch; exact hours/dates can be provided by contacting the ID Card Office. ",STUDENT_ID_CARD
450,Tell me student ID card procedure,"Arya College issues student ID cards via the Student Services/Registrar. To get one: (1) submit ID Card request through the student portal or visit the ID Card Office, (2) provide enrollment proof and a passport-size photo (and passport/ID if international), (3) payment if required. Processing/collection timing vary by batch; exact hours/dates can be provided by contacting the ID Card Office. ",STUDENT_ID_CARD
451,How do I make my student ID?,"Arya College issues student ID cards via the Student Services/Registrar. To get one: (1) submit ID Card request through the student portal or visit the ID Card Office, (2) provide enrollment proof and a passport-size photo (and passport/ID if international), (3) payment if required. Processing/collection timing vary by batch; exact hours/dates can be provided by contacting the ID Card Office. ",STUDENT_ID_CARD
452, Where is student ID card office?,"Arya College issues student ID cards via the Student Services/Registrar. To get one: (1) submit ID Card request through the student portal or visit the ID Card Office, (2) provide enrollment proof and a passport-size photo (and passport/ID if international), (3) payment if required. Processing/collection timing vary by batch; exact hours/dates can be provided by contacting the ID Card Office. ",STUDENT_ID_CARD
453,What do I need for student ID card?,"Arya College issues student ID cards via the Student Services/Registrar. To get one: (1) submit ID Card request through the student portal or visit the ID Card Office, (2) provide enrollment proof and a passport-size photo (and passport/ID if international), (3) payment if required. Processing/collection timing vary by batch; exact hours/dates can be provided by contacting the ID Card Office. ",STUDENT_ID_CARD
454,Tell me about ID card services,"Arya College issues student ID cards via the Student Services/Registrar. To get one: (1) submit ID Card request through the student portal or visit the ID Card Office, (2) provide enrollment proof and a passport-size photo (and passport/ID if international), (3) payment if required. Processing/collection timing vary by batch; exact hours/dates can be provided by contacting the ID Card Office. ",STUDENT_ID_CARD
455,How can I get my college ID card?,"Arya College issues student ID cards via the Student Services/Registrar. To get one: (1) submit ID Card request through the student portal or visit the ID Card Office, (2) provide enrollment proof and a passport-size photo (and passport/ID if international), (3) payment if required. Processing/collection timing vary by batch; exact hours/dates can be provided by contacting the ID Card Office. ",STUDENT_ID_CARD
456,Where do I go for student ID?,"Arya College issues student ID cards via the Student Services/Registrar. To get one: (1) submit ID Card request through the student portal or visit the ID Card Office, (2) provide enrollment proof and a passport-size photo (and passport/ID if international), (3) payment if required. Processing/collection timing vary by batch; exact hours/dates can be provided by contacting the ID Card Office. ",STUDENT_ID_CARD
457,What's required for student ID card?,"Arya College issues student ID cards via the Student Services/Registrar. To get one: (1) submit ID Card request through the student portal or visit the ID Card Office, (2) provide enrollment proof and a passport-size photo (and passport/ID if international), (3) payment if required. Processing/collection timing vary by batch; exact hours/dates can be provided by contacting the ID Card Office. ",STUDENT_ID_CARD
458,Tell me student identification process,"Arya College issues student ID cards via the Student Services/Registrar. To get one: (1) submit ID Card request through the student portal or visit the ID Card Office, (2) provide enrollment proof and a passport-size photo (and passport/ID if international), (3) payment if required. Processing/collection timing vary by batch; exact hours/dates can be provided by contacting the ID Card Office. ",STUDENT_ID_CARD
459, How do I request student ID card?,"Arya College issues student ID cards via the Student Services/Registrar. To get one: (1) submit ID Card request through the student portal or visit the ID Card Office, (2) provide enrollment proof and a passport-size photo (and passport/ID if international), (3) payment if required. Processing/collection timing vary by batch; exact hours/dates can be provided by contacting the ID Card Office. ",STUDENT_ID_CARD
460, What's the academic calendar for next year?,"Academic calendars are batch-specific. Arya College follows RTU/college calendars. The calendar typically includes: semester start/end dates, holidays/breaks, registration windows, add/drop deadlines, exam periods, and fee/deadline dates. For next year, exact dates depend on your batch/intake. I can connect you with Admissions/Registrar to provide your program’s exact calendar and portal links. ",ACADEMIC_CALENDAR
461,Tell me about the school calendar,"Academic calendars are batch-specific. Arya College follows RTU/college calendars. The calendar typically includes: semester start/end dates, holidays/breaks, registration windows, add/drop deadlines, exam periods, and fee/deadline dates. For next year, exact dates depend on your batch/intake. I can connect you with Admissions/Registrar to provide your program’s exact calendar and portal links. ",ACADEMIC_CALENDAR
462, When are important academic dates?,"Academic calendars are batch-specific. Arya College follows RTU/college calendars. The calendar typically includes: semester start/end dates, holidays/breaks, registration windows, add/drop deadlines, exam periods, and fee/deadline dates. For next year, exact dates depend on your batch/intake. I can connect you with Admissions/Registrar to provide your program’s exact calendar and portal links. ",ACADEMIC_CALENDAR
463,Can I see the academic schedule?,"Academic calendars are batch-specific. Arya College follows RTU/college calendars. The calendar typically includes: semester start/end dates, holidays/breaks, registration windows, add/drop deadlines, exam periods, and fee/deadline dates. For next year, exact dates depend on your batch/intake. I can connect you with Admissions/Registrar to provide your program’s exact calendar and portal links. ",ACADEMIC_CALENDAR
464,What's the yearly academic calendar?,"Academic calendars are batch-specific. Arya College follows RTU/college calendars. The calendar typically includes: semester start/end dates, holidays/breaks, registration windows, add/drop deadlines, exam periods, and fee/deadline dates. For next year, exact dates depend on your batch/intake. I can connect you with Admissions/Registrar to provide your program’s exact calendar and portal links. ",ACADEMIC_CALENDAR
465,Tell me key dates for next year,"Academic calendars are batch-specific. Arya College follows RTU/college calendars. The calendar typically includes: semester start/end dates, holidays/breaks, registration windows, add/drop deadlines, exam periods, and fee/deadline dates. For next year, exact dates depend on your batch/intake. I can connect you with Admissions/Registrar to provide your program’s exact calendar and portal links. ",ACADEMIC_CALENDAR
466,When are breaks and holidays?,"Academic calendars are batch-specific. Arya College follows RTU/college calendars. The calendar typically includes: semester start/end dates, holidays/breaks, registration windows, add/drop deadlines, exam periods, and fee/deadline dates. For next year, exact dates depend on your batch/intake. I can connect you with Admissions/Registrar to provide your program’s exact calendar and portal links. ",ACADEMIC_CALENDAR
467,What's the academic year schedule?,"Academic calendars are batch-specific. Arya College follows RTU/college calendars. The calendar typically includes: semester start/end dates, holidays/breaks, registration windows, add/drop deadlines, exam periods, and fee/deadline dates. For next year, exact dates depend on your batch/intake. I can connect you with Admissions/Registrar to provide your program’s exact calendar and portal links. ",ACADEMIC_CALENDAR
468,Can you show me important dates?,"Academic calendars are batch-specific. Arya College follows RTU/college calendars. The calendar typically includes: semester start/end dates, holidays/breaks, registration windows, add/drop deadlines, exam periods, and fee/deadline dates. For next year, exact dates depend on your batch/intake. I can connect you with Admissions/Registrar to provide your program’s exact calendar and portal links. ",ACADEMIC_CALENDAR
469,Tell me semester dates and deadlines,"Academic calendars are batch-specific. Arya College follows RTU/college calendars. The calendar typically includes: semester start/end dates, holidays/breaks, registration windows, add/drop deadlines, exam periods, and fee/deadline dates. For next year, exact dates depend on your batch/intake. I can connect you with Admissions/Registrar to provide your program’s exact calendar and portal links. ",ACADEMIC_CALENDAR
470,What's the college calendar?,"Academic calendars are batch-specific. Arya College follows RTU/college calendars. The calendar typically includes: semester start/end dates, holidays/breaks, registration windows, add/drop deadlines, exam periods, and fee/deadline dates. For next year, exact dates depend on your batch/intake. I can connect you with Admissions/Registrar to provide your program’s exact calendar and portal links. ",ACADEMIC_CALENDAR
471, When are registration and exam periods?,"Academic calendars are batch-specific. Arya College follows RTU/college calendars. The calendar typically includes: semester start/end dates, holidays/breaks, registration windows, add/drop deadlines, exam periods, and fee/deadline dates. For next year, exact dates depend on your batch/intake. I can connect you with Admissions/Registrar to provide your program’s exact calendar and portal links. ",ACADEMIC_CALENDAR
472,Tell me academic year timeline,"Academic calendars are batch-specific. Arya College follows RTU/college calendars. The calendar typically includes: semester start/end dates, holidays/breaks, registration windows, add/drop deadlines, exam periods, and fee/deadline dates. For next year, exact dates depend on your batch/intake. I can connect you with Admissions/Registrar to provide your program’s exact calendar and portal links. ",ACADEMIC_CALENDAR
473,What are the semester start and end dates?,"Academic calendars are batch-specific. Arya College follows RTU/college calendars. The calendar typically includes: semester start/end dates, holidays/breaks, registration windows, add/drop deadlines, exam periods, and fee/deadline dates. For next year, exact dates depend on your batch/intake. I can connect you with Admissions/Registrar to provide your program’s exact calendar and portal links. ",ACADEMIC_CALENDAR
474,Can I get the academic calendar?,"Academic calendars are batch-specific. Arya College follows RTU/college calendars. The calendar typically includes: semester start/end dates, holidays/breaks, registration windows, add/drop deadlines, exam periods, and fee/deadline dates. For next year, exact dates depend on your batch/intake. I can connect you with Admissions/Registrar to provide your program’s exact calendar and portal links. ",ACADEMIC_CALENDAR
475,Tell me school year schedule,"Academic calendars are batch-specific. Arya College follows RTU/college calendars. The calendar typically includes: semester start/end dates, holidays/breaks, registration windows, add/drop deadlines, exam periods, and fee/deadline dates. For next year, exact dates depend on your batch/intake. I can connect you with Admissions/Registrar to provide your program’s exact calendar and portal links. ",ACADEMIC_CALENDAR
476,What important dates should I know?,"Academic calendars are batch-specific. Arya College follows RTU/college calendars. The calendar typically includes: semester start/end dates, holidays/breaks, registration windows, add/drop deadlines, exam periods, and fee/deadline dates. For next year, exact dates depend on your batch/intake. I can connect you with Admissions/Registrar to provide your program’s exact calendar and portal links. ",ACADEMIC_CALENDAR
477,Do you offer work-study programs to help with expenses?,"Arya College offers student jobs/work-study on campus. Roles include library/help desk, lab assistant, admin support, events, and other campus positions. Eligibility typically: enrolled full-time and in good standing; hours vary by role. Applications are via the student portal; deadlines align with each semester. Jobs often start after orientation or within the first few weeks of the term. I can connect you with the Student Employment team for current openings.",WORK_STUDY_PROGRAMS
478,Are there work-study opportunities?,"Arya College offers student jobs/work-study on campus. Roles include library/help desk, lab assistant, admin support, events, and other campus positions. Eligibility typically: enrolled full-time and in good standing; hours vary by role. Applications are via the student portal; deadlines align with each semester. Jobs often start after orientation or within the first few weeks of the term. I can connect you with the Student Employment team for current openings.",WORK_STUDY_PROGRAMS
479, Can I work on campus to pay for college?,"Arya College offers student jobs/work-study on campus. Roles include library/help desk, lab assistant, admin support, events, and other campus positions. Eligibility typically: enrolled full-time and in good standing; hours vary by role. Applications are via the student portal; deadlines align with each semester. Jobs often start after orientation or within the first few weeks of the term. I can connect you with the Student Employment team for current openings.",WORK_STUDY_PROGRAMS
480,Tell me about student employment,"Arya College offers student jobs/work-study on campus. Roles include library/help desk, lab assistant, admin support, events, and other campus positions. Eligibility typically: enrolled full-time and in good standing; hours vary by role. Applications are via the student portal; deadlines align with each semester. Jobs often start after orientation or within the first few weeks of the term. I can connect you with the Student Employment team for current openings.",WORK_STUDY_PROGRAMS
481,Do you have campus jobs for students?,"Arya College offers student jobs/work-study on campus. Roles include library/help desk, lab assistant, admin support, events, and other campus positions. Eligibility typically: enrolled full-time and in good standing; hours vary by role. Applications are via the student portal; deadlines align with each semester. Jobs often start after orientation or within the first few weeks of the term. I can connect you with the Student Employment team for current openings.",WORK_STUDY_PROGRAMS
482,Are work-study positions available?,"Arya College offers student jobs/work-study on campus. Roles include library/help desk, lab assistant, admin support, events, and other campus positions. Eligibility typically: enrolled full-time and in good standing; hours vary by role. Applications are via the student portal; deadlines align with each semester. Jobs often start after orientation or within the first few weeks of the term. I can connect you with the Student Employment team for current openings.",WORK_STUDY_PROGRAMS
483,Can I get a campus job?,"Arya College offers student jobs/work-study on campus. Roles include library/help desk, lab assistant, admin support, events, and other campus positions. Eligibility typically: enrolled full-time and in good standing; hours vary by role. Applications are via the student portal; deadlines align with each semester. Jobs often start after orientation or within the first few weeks of the term. I can connect you with the Student Employment team for current openings.",WORK_STUDY_PROGRAMS
484,Tell me about student work programs,"Arya College offers student jobs/work-study on campus. Roles include library/help desk, lab assistant, admin support, events, and other campus positions. Eligibility typically: enrolled full-time and in good standing; hours vary by role. Applications are via the student portal; deadlines align with each semester. Jobs often start after orientation or within the first few weeks of the term. I can connect you with the Student Employment team for current openings.",WORK_STUDY_PROGRAMS
485,Do you offer on-campus employment?,"Arya College offers student jobs/work-study on campus. Roles include library/help desk, lab assistant, admin support, events, and other campus positions. Eligibility typically: enrolled full-time and in good standing; hours vary by role. Applications are via the student portal; deadlines align with each semester. Jobs often start after orientation or within the first few weeks of the term. I can connect you with the Student Employment team for current openings.",WORK_STUDY_PROGRAMS
486, Are there part-time jobs for students?,"Arya College offers student jobs/work-study on campus. Roles include library/help desk, lab assistant, admin support, events, and other campus positions. Eligibility typically: enrolled full-time and in good standing; hours vary by role. Applications are via the student portal; deadlines align with each semester. Jobs often start after orientation or within the first few weeks of the term. I can connect you with the Student Employment team for current openings.",WORK_STUDY_PROGRAMS
487,Can I work while studying?,"Arya College offers student jobs/work-study on campus. Roles include library/help desk, lab assistant, admin support, events, and other campus positions. Eligibility typically: enrolled full-time and in good standing; hours vary by role. Applications are via the student portal; deadlines align with each semester. Jobs often start after orientation or within the first few weeks of the term. I can connect you with the Student Employment team for current openings.",WORK_STUDY_PROGRAMS
488,Tell me work-study information,"Arya College offers student jobs/work-study on campus. Roles include library/help desk, lab assistant, admin support, events, and other campus positions. Eligibility typically: enrolled full-time and in good standing; hours vary by role. Applications are via the student portal; deadlines align with each semester. Jobs often start after orientation or within the first few weeks of the term. I can connect you with the Student Employment team for current openings.",WORK_STUDY_PROGRAMS
489, Do you have student assistant positions?,"Arya College offers student jobs/work-study on campus. Roles include library/help desk, lab assistant, admin support, events, and other campus positions. Eligibility typically: enrolled full-time and in good standing; hours vary by role. Applications are via the student portal; deadlines align with each semester. Jobs often start after orientation or within the first few weeks of the term. I can connect you with the Student Employment team for current openings.",WORK_STUDY_PROGRAMS
490,Are campus work opportunities available?,"Arya College offers student jobs/work-study on campus. Roles include library/help desk, lab assistant, admin support, events, and other campus positions. Eligibility typically: enrolled full-time and in good standing; hours vary by role. Applications are via the student portal; deadlines align with each semester. Jobs often start after orientation or within the first few weeks of the term. I can connect you with the Student Employment team for current openings.",WORK_STUDY_PROGRAMS
491, Can students get paid jobs on campus?,"Arya College offers student jobs/work-study on campus. Roles include library/help desk, lab assistant, admin support, events, and other campus positions. Eligibility typically: enrolled full-time and in good standing; hours vary by role. Applications are via the student portal; deadlines align with each semester. Jobs often start after orientation or within the first few weeks of the term. I can connect you with the Student Employment team for current openings.",WORK_STUDY_PROGRAMS
492,Tell me about work-study financial aid,"Arya College offers student jobs/work-study on campus. Roles include library/help desk, lab assistant, admin support, events, and other campus positions. Eligibility typically: enrolled full-time and in good standing; hours vary by role. Applications are via the student portal; deadlines align with each semester. Jobs often start after orientation or within the first few weeks of the term. I can connect you with the Student Employment team for current openings.",WORK_STUDY_PROGRAMS
493,Do you provide student employment options?,"Arya College offers student jobs/work-study on campus. Roles include library/help desk, lab assistant, admin support, events, and other campus positions. Eligibility typically: enrolled full-time and in good standing; hours vary by role. Applications are via the student portal; deadlines align with each semester. Jobs often start after orientation or within the first few weeks of the term. I can connect you with the Student Employment team for current openings.",WORK_STUDY_PROGRAMS
494,Do you have computer labs?," Arya College has computer labs and computing facilities across campus. Students can use campus computers by logging in with their student ID; hours vary by lab and term. Labs are generally open to all enrolled students, with scheduling for classes. Printing and software access are available; IT helpdesk supports usage. For exact locations, timings, and access rules, I can connect you with IT/Facilities staff. ",COMPUTER_LABS
495,Are there computer facilities available?," Arya College has computer labs and computing facilities across campus. Students can use campus computers by logging in with their student ID; hours vary by lab and term. Labs are generally open to all enrolled students, with scheduling for classes. Printing and software access are available; IT helpdesk supports usage. For exact locations, timings, and access rules, I can connect you with IT/Facilities staff. ",COMPUTER_LABS
496, Can students use computer labs?," Arya College has computer labs and computing facilities across campus. Students can use campus computers by logging in with their student ID; hours vary by lab and term. Labs are generally open to all enrolled students, with scheduling for classes. Printing and software access are available; IT helpdesk supports usage. For exact locations, timings, and access rules, I can connect you with IT/Facilities staff. ",COMPUTER_LABS
497,Tell me about computer lab access," Arya College has computer labs and computing facilities across campus. Students can use campus computers by logging in with their student ID; hours vary by lab and term. Labs are generally open to all enrolled students, with scheduling for classes. Printing and software access are available; IT helpdesk supports usage. For exact locations, timings, and access rules, I can connect you with IT/Facilities staff. ",COMPUTER_LABS
498, Do you provide computers for students?," Arya College has computer labs and computing facilities across campus. Students can use campus computers by logging in with their student ID; hours vary by lab and term. Labs are generally open to all enrolled students, with scheduling for classes. Printing and software access are available; IT helpdesk supports usage. For exact locations, timings, and access rules, I can connect you with IT/Facilities staff. ",COMPUTER_LABS
499,Are there computing facilities on campus?," Arya College has computer labs and computing facilities across campus. Students can use campus computers by logging in with their student ID; hours vary by lab and term. Labs are generally open to all enrolled students, with scheduling for classes. Printing and software access are available; IT helpdesk supports usage. For exact locations, timings, and access rules, I can connect you with IT/Facilities staff. ",COMPUTER_LABS
500,Can I use campus computers?," Arya College has computer labs and computing facilities across campus. Students can use campus computers by logging in with their student ID; hours vary by lab and term. Labs are generally open to all enrolled students, with scheduling for classes. Printing and software access are available; IT helpdesk supports usage. For exact locations, timings, and access rules, I can connect you with IT/Facilities staff. ",COMPUTER_LABS
501,Tell me about computer lab services," Arya College has computer labs and computing facilities across campus. Students can use campus computers by logging in with their student ID; hours vary by lab and term. Labs are generally open to all enrolled students, with scheduling for classes. Printing and software access are available; IT helpdesk supports usage. For exact locations, timings, and access rules, I can connect you with IT/Facilities staff. ",COMPUTER_LABS
502,Do you have student computer centers?," Arya College has computer labs and computing facilities across campus. Students can use campus computers by logging in with their student ID; hours vary by lab and term. Labs are generally open to all enrolled students, with scheduling for classes. Printing and software access are available; IT helpdesk supports usage. For exact locations, timings, and access rules, I can connect you with IT/Facilities staff. ",COMPUTER_LABS
